title,sku,price,price_old,is_active,count
"Стойка с мисками для животных ХОРОШКА регулируемая, шагрень, h50см, D24см, 2х2,0л 2.08 кг",ПР0037177,2859.00,,True,мало
"Миска для животных MAJOR двойная на металлической подставке, керамика, 2х300мл 667 г",ПР0038128,1389.00,,True,достаточно
"Стойка с мисками для животных ХОРОШКА регулируемая, шагрень, h40см, D20см, 2х1,0л 1.82 кг",ПР0037175,2649.00,,True,достаточно
"Миска для животных FOXIE Heart розовая керамическая 16х15,5х6см 250мл 420 г",ПР0049189,329.00,,True,достаточно
Игрушка для собак FOXIE Елочка с мешочком с пищалкой 14х12х9см винил 115 г,ПР0069888,369.00,,True,много
Игрушка для собак FOXIE Белка с шуршащей бумагой и пищалкой 43х17см плюш 49 г,ПР0064403,599.00,,True,достаточно
Игрушка для собак FOXIE Тяни-толкай Северный олень 38х7х7см 102 г,ПР0069889,289.00,,True,достаточно
Игрушка для собак FOXIE Funny monster 7x7см латекс красный 34 г,ПР0069868,359.00,,True,мало
Игрушка для собак FOXIE Pink flamingo с веревочными ногами 35x20см 106 г,ПР0069858,739.00,,True,достаточно
Игрушка для собак FOXIE Football Тяни-толкай с ручками 19см 66 г,ПР0069872,259.00,,True,достаточно
Игрушка для собак FOXIE Koala с веревочными ногами 38x20см 118 г,ПР0069859,739.00,,True,достаточно
Игрушка для собак FOXIE Новогодний кексик с пищалкой 7х7х5см винил 36 г,ПР0069886,169.00,,False,
"Игрушка для собак FOXIE New Year cactus Кактус с шапочкой и пищалкой 7,5х25см 60 г",ПР0069895,489.00,,False,
Игрушка для собак FOXIE Енот с пищалкой 25см латекс 58 г,ПР0050079,359.00,,True,достаточно
"Игрушка для собак FOXIE Дракон с пищалкой 12,5х37см 140 г",ПР0069899,899.00,,True,достаточно
Игрушка для собак FOXIE Snowman Снеговик плетеный 17см 170 г,ПР0069901,649.00,,True,мало
Игрушка для собак FOXIE Тяни-толкай Снеговик 38х7х7см 95 г,ПР0069890,289.00,,True,достаточно
Игрушка для собак CHOMPER Meadow Звери суперпрочные с пищалкой 26см  290 г,ПР0050350,1199.00,,True,достаточно
"Игрушка для собак TRIXIE Denta Fan Mintfresh кость резиновая с ментоловой пропиткой 11,5см 250 г",УТ0004397,875.00,,True,достаточно
"Игрушка для собак CHOMPER Into the Woods Диспенсер для лакомств 8,5 см 140 г",ПР0049455,619.00,,True,достаточно
Игрушка для собак PETSTAGES Dogwood палочка деревянная очень маленькая 44 г,ПР0033249,373.00,,True,достаточно
"Игрушка для собак TRIXIE Мяч DentaFun бейсбольный,резина 6,5см 138 г",Т0022356,603.00,,True,достаточно
Игрушка для собак PETSTAGES Dogwood палочка деревянная средняя 180 г,ПР0029521,1170.00,,True,достаточно
Игрушка для собак PETSTAGES ОРКА теннисный мяч 113 г,ПР0004479,779.00,,True,достаточно
Рулетка для собак FLEXI New Line Comfort L (до 50кг) лента 8м серый/черный 538 г,ПР0054799,3120.00,,True,достаточно
Ошейник для собак HUNTER Conadian 65 кожа лося черно-коньячный 50-56см 180 г,Т00018649,9450.00,,False,
Шлейка для собак FERPLAST Ergocomfort P Large красная 286 г,Т0052703,4820.00,,True,достаточно
"Намордник для собак TRIXIE размер 6, пластик 70 г",Т0028565,855.00,,True,достаточно
Шлейка для собак FERPLAST Ergocomfort P Medium красная 219 г,Т0052702,3880.00,,True,достаточно
"Ошейник для собак FOXIE Sunset M 2,0х35-50см разноцветный 32 г",ПР0073771,248.00,,True,достаточно
"Рулетка для собак FLEXI New Classic L до 50 кг, лента 8 м черная 600 г",ПР0056748,2370.00,1896,True,достаточно
Шлейка для собак FERPLAST Ergocomfort P XS-S 37-47см красная 150 г,Т0052637,2990.00,,True,мало
Рулетка для собак FLEXI Neon L Giant до 50кг светоотражающий ремень 8м 660 г,ПР0031693,4090.00,3272,True,мало
"Ошейник для собак FOXIE Sultry forest L 2,5х45-70см разноцветный 71 г",ПР0073839,198.00,,True,достаточно
Рулетка для собак FLEXI New Classic L (до 50кг) лента 5м черная 410 г,ПР0043833,1850.00,,True,достаточно
"Намордник для собак TRIXIE размер 3, пластик 46 г",Т0049519,629.00,,True,достаточно
"Рулетка для собак FLEXI New Classic M до 25 кг, 5 м лента черная 300 г",ПР0056749,1780.00,1424,True,мало
"Поводок для собак FOXIE Double L 2,5х200см синий 107 г",ПР0073834,448.00,,True,достаточно
Ошейник для собак FERPLAST строгий CHROME CА6002 440 г,Т0024432,1660.00,,True,достаточно
"Ошейник для собак FOXIE Double color из биотана M 2,0х35-50см оранжевый 51 г",ПР0073829,498.00,,True,достаточно
"Ошейник для собак FOXIE Azalea L 2,0х45см розовый 56 г",ПР0073816,398.00,,True,достаточно
Намордник для собак TRIXIE Защита от отравлений сетка на морду XS 18-26см 14см 4 г,ПР0042620,759.00,,True,достаточно
Рулетка для собак FLEXI Classic Basic S (до 12 килограммов) трос 5м черная 245 г,ПР0030976,1130.00,,True,мало
Бокс для лакомств или пакетиков для сбора фекалий FLEXI Multi box S-М/L черный 108 г,ПР0049547,737.00,,True,мало
Фурминатор для собак FURMINATOR L для крупных длинношерстных пород 270 г,ПР0049037,4860.00,,False,
Когтерез-секатор DeLIGHT средний со стопором 40112М 68 г,ПР0049815,1050.00,,True,достаточно
Фурминатор для собак FURMINATOR S для мелких длинношерстных пород 201 г,ПР0049038,2880.00,,False,
Фурминатор для собак FURMINATOR L для крупных короткошерстных пород 270 г,ПР0049041,4860.00,,False,
"Кусачки TRIXIE универсал Люкс 12,5см 70 г",Т00009340,903.00,,True,достаточно
Фурминатор для собак FURMINATOR XS для карликовых длинношерстных пород 186 г,ПР0049036,2270.00,,False,
Когтерез-ножницы DeLIGHT малый с упором 3904 20 г,ПР0049813,519.00,,True,достаточно
"Машинка для стрижки животных ZIVER Zander аккумуляторно-сетевая 224 10Вт, Ni-Cd 430 г",ПР0059054,6150.00,,False,
Пуходёрка DeLIGHT самоочищ. автомат. с плавающей головой малая 52373S 95 г,ПР0049830,1200.00,,True,достаточно
Пуходёрка ZOO ONE Эстетик с поворотной ручкой с каплей малая 59 г,ПР0049820,837.00,,True,достаточно
Дешеддер DELIGHT средний 65 зубьев 62065M 91 г,ПР0049817,1730.00,1384,True,достаточно
